Tahun,Produksi_GKG,Produksi_Beras,Konsumsi_Beras_Perkapita,Jumlah_Penduduk,Total_Konsumsi_Beras
1993,48129321,30812391,111.580,190851184,21295175
1994,46598380,29832283,111.580,193917458,21637310
1995,49697444,31816304,111.580,196934257,21973924
1996,51048899,32681505,111.580,199901231,22304979
1997,49339086,31586883,111.580,202826444,22631375
1998,49236692,31521330,111.580,205724597,22954751
1999,50866387,32564661,111.580,208615171,23277281
2000,51898852,33225645,111.580,211513822,23600712
2001,50460782,32304993,111.580,214427419,23925811
2002,51489694,32963702,111.580,217357790,24252782
2003,52137604,33378494,111.580,220309473,24582131
2004,54088468,34627437,111.580,223285666,24914215
2005,54151097,34667532,111.580,226289468,25249379
2006,54454937,34862051,111.580,229318262,25587332
2007,57157435,36592190,111.580,232374239,25928318
2008,60325925,38620657,111.580,235469755,26273715
2009,64398890,41228169,111.580,238620554,26625281
2010,66469394,42553706,111.580,241834226,26983863
2011,65756904,42097570,111.580,245115988,27350042
2012,69056126,44209732,111.580,248451714,27722242
2013,71279709,45633270,111.580,251805314,28096437
2014,70846465,45355907,111.580,255128076,28467191
2015,75397841,48269698,111.580,258383257,28830404
2016,79354767,50802922,111.580,261556386,29184462
2017,81148594,51951330,111.580,264650969,29529755
2018,83037150,53160383,111.580,267670549,29866680